ABM,AE,Applied Economics
ABM,BES,Business Enterprise Simulation 
ABM,BESR,Business Ethics and Social Responsibility
ABM,BF,Business Finance
ABM,BM,Business Mathematics
ABM,ABM1,"Fundamentals of Accountancy, Business and Management 1"
ABM,ABM2,"Fundamentals of Accountancy, Business and Management 2"
ABM,OM,Organization and Management
ABM,POM,Principles of Marketing
APPLIED,ET,Empowerment Technology
APPLIED,EAPP,English for Academic and Propfessional Purposes
APPLIED,ENTREP,Entrepreneurship
APPLIED,III,"Inquiries, Investigations and Immersion"
APPLIED,PL,Pagsulat sa Filipino sa Piling Larang
APPLIED,PR1,Practical Research 1
APPLIED,PR2,Practical Research 2
CORE,21STCENT,21st Century Literature from the Philippines and the World
CORE,CPAR,Contemporay Phil Arts from the Regions
CORE,DRR,Disaster Readiness and Risk Reduction
CORE,ELS,Earth and Life Science
CORE,ES,Earth Science
CORE,GM,General Mathematics
CORE,PHILO,Introduction to Philosophy of the Human Person 
CORE,WIKA,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino
CORE,MIL,Media and Information Literacy
CORE,OC,Oral Communication
CORE,PAGBASA,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik
CORE,PD,Personal Development 
CORE,PE1,Physical Education and Health book 1
CORE,PE2,Physical Education and Health book 2
CORE,PE3,Physical Education and Health book 3
CORE,PE4,Physical Education and Health book 4
CORE,PS,Physical Science
CORE,RW,Reading and Writing  
CORE,STAT,Statistics and Probability
CORE,UCSP,"Understanding Culture, Society, and Politics"
HUMMS,CESC,"Community Engagement, Solidarity, and Citizenship"
HUMMS,CNF,Creative Non-Fiction
HUMMS,CW,Creative Writing 
HUMMS,DISS,Disciplines and Ideas in the Applied Social Sciences
HUMMS,DIASS,Disciplines and Ideas in the Social Sciences
HUMMS,IWRBS,Introduction to World Religions and Belief Systems
HUMMS,PPG,Philippine Politics and Governance
HUMMS,TNCT,"Trends, Networks, and Critical Thinking in the 21st Century Culture"
HUMMS,SWIM,Work Immersion/ Research/ Career Advocacy/ Culminating Activity
STEM,BC,Basic Calculus
STEM,GB1,General Biology 1
STEM,GB2,General Biology 2
STEM,GC1,General Chemistry 1
STEM,GC2,General Chemistry 2
STEM,GP1,General Physics 1
STEM,GP2,General Physics 2 
STEM,PRECAL,Pre-Calculus 
