ABM,Applied Economics,Applied Economics,economics as an applied science and its utility in addressing the economic problems of the country,define basic terms in applied economics,ABM_AE12-Ia-d-1
ABM,Applied Economics,Applied Economics,economics as an applied science and its utility in addressing the economic problems of the country,identify the basic economic problems of the country,ABM_AE12-Ia-d-2
ABM,Applied Economics,Applied Economics,"economics as an applied science and its utility in addressing the economic problems of the country",explain how applied economics can be used to solve economic problems ,ABM_AE12-Ia-d-3
ABM,Applied Economics,Applied Economics,"the law of supply and demand, and factors affecting the economic situation","explain the law of supply and demand, and how equilibrium price and quantity are determined",ABM_AE12-Ie-h-4
ABM,Applied Economics,Applied Economics,"the law of supply and demand, and factors affecting the economic situation",discuss and explain factors affecting demand and supply ,ABM_AE12-Ie-h-5
ABM,Applied Economics,Applied Economics,"the law of supply and demand, and factors affecting the economic situation",compare the prices of commodities and analyze the impact on consumers,ABM_AE12-Ie-h-6
ABM,Applied Economics,Applied Economics,"the law of supply and demand, and factors affecting the economic situation","explain market structures (perfect competition, monopoly, oligopoly, and monopolistic competition)",ABM_AE12-Ie-h-7
ABM,Applied Economics,Applied Economics,"the law of supply and demand, and factors affecting the economic situation","analyze the effects of contemporary issues such as migration, fluctuations in the exchange rate, oil price increases, unemployment, peace and order, etc. on the purchasing power of the people",ABM_AE12-Ie-h-8
ABM,Applied Economics,Applied Economics,"industry analysis, its principles, tools, and techniques leading to the identification of business opportunities","identify and explain different principles, tools, and techniques in creating a business",ABM_AE12-IIa-d-9
ABM,Applied Economics,Applied Economics,"industry analysis, its principles, tools, and techniques leading to the identification of business opportunities",distinguish the different services/products of business and industry in the locality,ABM_AE12II-a-d-10
ABM,Applied Economics,Applied Economics,"various socioeconomic impacts of business on the following sectors: consumer, supplier and investors, government,households, and international trade",Identify and explain the various socioeconomic factors affecting business and industry,ABM_AE12II-e-g-11
ABM,Applied Economics,Applied Economics,"various socioeconomic impacts of business on the following sectors: consumer, supplier and investors, government,households, and international trade",analyze and evaluate the viability of a business and its impact on the community,ABM_AE12II-e-g-12
ABM,Applied Economics,Applied Economics,"various socioeconomic impacts of business on the following sectors: consumer, supplier and investors, government,households, and international trade","formulate recommendations and strategies on how to minimize and maximize a business’s negative impact and positive impact, respectively",ABM_AE12II-e-g-13
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the definition, nature,
function, and history of
accounting",1. define accounting,ABM_FABM11- IIIa-1
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the definition, nature,
function, and history of
accounting","2. describe the nature of
accounting",ABM_FABM11- IIIa-2
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the definition, nature,
function, and history of
accounting","3. explain the functions of
accounting in business",ABM_FABM11- IIIa-3
ABM,"Fundamentals of Accountancy, Business and Management 1",  ,"the definition, nature,
function, and history of
accounting","4. narrate the history/origin
of accounting",ABM_FABM11- IIIa-4
ABM,"Fundamentals of Accountancy, Business and Management 1",  ,"the varied branches and areas
of accounting, particularly
1. financial accounting
2. management accounting
3. government accounting
4. auditing
5. tax accounting
6. cost accounting
7. accounting education
8. accounting research","1. differentiate the branches
of accounting",ABM_FABM11- IIIa-5
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the varied branches and areas
of accounting, particularly
1. financial accounting
2. management accounting
3. government accounting
4. auditing
5. tax accounting
6. cost accounting
7. accounting education
8. accounting research","2. explain the kind/type of
services rendered in each
of these branches",ABM_FABM11- IIIa-6
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the external and internal
users of financial information","1. define external users and
gives examples",ABM_FABM11- IIIa-7
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the external and internal
users of financial information","2. define internal users and
give examples",ABM_FABM11- IIIa-8
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the external and internal
users of financial information","3. identify the type of
decisions made by each
group of users",ABM_FABM11- IIIa-9
ABM,"Fundamentals of Accountancy, Business and Management 1",,"the external and internal
users of financial information","4. describe the type of
information needed by
each group of users",ABM_FABM11- IIIa-10
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the various forms of business
organization, as follows:
1. sole / single
proprietorship
2. partnership
3. corporation
4. cooperatives",1. differentiate the forms of business organization,ABM_FABM11- IIIb-11
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the various forms of business
organization, as follows:
1. sole / single
proprietorship
2. partnership
3. corporation
4. cooperatives","2. identify the advantages
and disadvantages of each
form",ABM_FABM11- IIIb-12
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the types of business
according to activities,
particularly:
1. service business
2. merchandising business
3. manufacturing business","1. compare and contrast the
types of business
according to activities",ABM_FABM11- IIIb-13
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the types of business
according to activities,
particularly:
1. service business
2. merchandising business
3. manufacturing business","2. identify the advantages,
disadvantages, and
business requirements of
each type",ABM_FABM11- IIIb-14
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"accounting concepts and
principles","1. explain the varied
accounting concepts and
principles",ABM_FABM11- IIIb-c-15
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"accounting concepts and
principles","2. solve exercises on
accounting principles as
applied in various cases",ABM_FABM11- IIIb-c-16
ABM,"Fundamentals of Accountancy, Business and Management 1", ,the accounting equation ,"1. illustrate the accounting
equation",ABM_FABM11- IIIb-c-17
ABM,"Fundamentals of Accountancy, Business and Management 1", ,the accounting equation ,2. perform operations involving simple cases with the use of accounting equation,ABM_FABM11- IIIb-c-18
ABM,"Fundamentals of Accountancy, Business and Management 1",,"the five major accounts,
namely,
1. assets
2. liabilities
3. capital
4. income
5. expenses",1. discuss the five major accounts,ABM_FABM11- IIId-e-19
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the five major accounts,
namely,
1. assets
2. liabilities
3. capital
4. income
5. expenses",2. cite examples of each type of account,ABM_FABM11- IIId-e-20
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the five major accounts,
namely,
1. assets
2. liabilities
3. capital
4. income
5. expenses",3. prepare a Chart of Accounts,ABM_FABM11- IIId-e-21
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the two major types of books
of accounts, namely, journal
and ledger",1. identify the uses of the two books of accounts,ABM_FABM11- IIIf-22
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the two major types of books
of accounts, namely, journal
and ledger",2. illustrate the format of a general and special journals,ABM_FABM11- IIIf-23
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the two major types of books
of accounts, namely, journal
and ledger",3. illustrate the format of a general and subsidiary ledger,ABM_FABM11- IIIf-24
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the business transactions and
their analysis, to include
definition and nature of
business transactions, types
of source or business
documents, and the rules of
debits and credits",1. describe the nature and gives examples of business transactions,ABM_FABM11- IIIg-j-25
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the business transactions and
their analysis, to include
definition and nature of
business transactions, types
of source or business
documents, and the rules of
debits and credits",2. identify the different types of business documents,ABM_FABM11- IIIg-j-26
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the business transactions and
their analysis, to include
definition and nature of
business transactions, types
of source or business
documents, and the rules of
debits and credits",3. analyze common business transactions using the rules of debit and credit,ABM_FABM11- IIIg-j-27
ABM,"Fundamentals of Accountancy, Business and Management 1", ,"the business transactions and
their analysis, to include
definition and nature of
business transactions, types
of source or business
documents, and the rules of
debits and credits",4. solve simple problems and exercises in the analyses of business transaction,ABM_FABM11- IIIg-j-28
ABM,"Fundamentals of Accountancy, Business and Management 1", ,the accounting cycle of a service business,1. describes the nature of transactions in a service business,ABM_FABM11- IVa-d-29
