topic,domain,title,code
What is an Entrepreneur?,Entrepreneurship,Entrepreneurship,-
What is an Entrepreneur?,Entrepreneurship,Entrepreneurship,-
How is the Entrepreneurial mindset developed?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-4
How is the Entrepreneurial mindset developed?,Entrepreneurship,Entrepreneurship,-
How Relevant is Entrepreneurship to the Philippine Economy?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-8
How Relevant is Entrepreneurship to the Philippine Economy?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-8
What are career opportunities for Entrepreneurs?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-8
What are career opportunities for Entrepreneurs?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-8
What are the Components of a Business Plan?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-1
What are the Components of a Business Plan?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-4
What needs will Your Start-UP Business Fill?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0b-c-5
What needs will Your Start-UP Business Fill?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0b-c-5
How do you Organize and Manage your Business?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-3
How do you Organize and Manage your Business?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-6
What are the Elements of a Marketing Strategy?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-7
What are the Elements of a Marketing Strategy?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-7
Which Financial Tools are Useful in Capitalizing Your Business?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-14
Which Financial Tools are Useful in Capitalizing Your Business?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-14
"Why is Strategic Planning Important fir Micro , Small, nd Medium Enterprises (MSMEs)?",Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
"Why is Strategic Planning Important fir Micro , Small, nd Medium Enterprises (MSMEs)?",Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What are the Key Economic concepts that Validate a Business Plan,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What are the Key Economic concepts that Validate a Business Plan,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
How do you Asses Your Local Market Environment?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-8
How do you Asses Your Local Market Environment?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0d-8
How are Risks Managed?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-13
How are Risks Managed?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-13
What is the Supply Chain and its Importance to Your Product-Market Strategy?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What is the Supply Chain and its Importanceto Your Product- Market Strategy?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What Product or Service Shall you Offer to Your Target Market?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-3
What Product or Service Shall you Offer to Your Target Market?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-3
How do you Proceed with the Business Start-Up?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-10
How do you Proceed with the Business Start-Up?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What are the government Regulatory Requirements That Business Start-Up must Comply with?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What are the government Regulatory Requirements That Business Start-Up must Comply with?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
How do you Track and Record your Financial Operations?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-16
How do you Track and Record your Financial Operations?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-16
How Do You Monitor Your Business Operations?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-i-20
How Do You Monitor Your Business Operations?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0a-i-20
How do you Intruduce your Business to Market?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-13
How do you Intruduce your Business to Market?,Entrepreneurship,Entrepreneurship,CS_EP11/12ENTREP-0h-j-13
Ano ang Akademikong Pagsulat? Ano ang pagkakaiba nito sa ibang sulatin?,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Binasa ,CS_FA11/12PB-0a-c-101
Ano ang Akademikong Pagsulat? Ano ang pagkakaiba nito sa ibang sulatin?,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Napakinggan ,CS_FA11/12PN-0a-c-90
Ano ang pagkakaiba ng Akademikong sulatin sa Di-Akademiko? Pano ito makikilala,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0d-f-92
Ano ang pagkakaiba ng Akademikong sulatin sa Di-Akademiko? Pano ito makikilala,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Napakinggan ,CS_FA11/12PN-0a-c-90
Ano ang Abstrak? Anu-ano ang nilalaman nito?,Pagsulat sa Filipino sa Piling Larang,Estratehiya sa Pag-aaral,CS_FA11/12EP0a-c-39
Ano ang Abstrak? Anu-ano ang nilalaman nito?,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0d-f-92
Paano magsulat ng sintesis? Ano ang hakbangin sa pagsulat nito?,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Binasa ,CS_FA11/12PB0m-o-102 
Paano magsulat ng sintesis? Ano ang hakbangin sa pagsulat nito?,Pagsulat sa Filipino sa Piling Larang,-,-
Paano magbuod? Ano ang hakbangin sa pagsulat ng buod? Ano ang pinagkaiba nito sa sintesis?,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0d-f-92
Paano magbuod? Ano ang hakbangin sa pagsulat ng buod? Ano ang pinagkaiba nito sa sintesis?,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0p-r-95
Ano ang nakalagay isang Bionote? Saan ito madalas matatagpuan,Pagsulat sa Filipino sa Piling Larang,Pag-unawa sa Napakinggan ,CS_FA11/12PN-0a-c-90
Ano ang nakalagay isang Bionote? Saan ito madalas matatagpuan,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0d-f-93
Ano ang Panukalang Proyekto? Saan ito madalas ginagawa?,Pagsulat sa Filipino sa Piling Larang,Estratehiya sa Pag-aaral,CS_FA11/12EP0a-c-39
Ano ang Panukalang Proyekto? Saan ito madalas ginagawa?,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0d-f-92
Bakit ka nagsusulat ng Talumpati?,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0p-r-94
Bakit ka nagsusulat ng Talumpati?,Pagsulat sa Filipino sa Piling Larang,Pagsulat,CS_FA11/12PU0d-f-92
